Dataset,IR,Scheme,Recall,Precision,F1,BAcc,AUC,cost_r1,cost_r2,cost_r5,cost_r10,cost_r20,cost_r50
australian_credit,1.247557003257329,bias_prop_oof,0.8730830248545743,0.8362001799934428,0.8528364216602172,0.866052790622776,0.9391507167996911,0.13478260869565217,0.19130434782608696,0.36086956521739133,0.6434782608695653,1.2086956521739132,2.904347826086956
australian_credit,1.247557003257329,stacking_cost,0.9350608143839239,0.7716572291914757,0.8453225813525552,0.8565768870279153,0.9367239067815204,0.15217391304347827,0.18115942028985507,0.2681159420289855,0.4130434782608695,0.7028985507246377,1.572463768115942
australian_credit,1.247557003257329,type,0.8763088313061871,0.8364734040371585,0.8546223739459695,0.8676656938485824,0.938768035660518,0.13333333333333333,0.18840579710144928,0.3536231884057971,0.6289855072463768,1.1797101449275362,2.8318840579710143
australian_credit,1.247557003257329,type_bacc_oof,0.8763088313061871,0.8364734040371585,0.8546223739459695,0.8676656938485824,0.9388104804822497,0.13333333333333333,0.18840579710144928,0.3536231884057971,0.6289855072463768,1.1797101449275362,2.8318840579710143
australian_credit,1.247557003257329,type_f1_oof,0.8763088313061871,0.8364734040371585,0.8546223739459695,0.8676656938485824,0.9388104804822497,0.13333333333333333,0.18840579710144928,0.3536231884057971,0.6289855072463768,1.1797101449275362,2.8318840579710143
australian_credit,1.247557003257329,type_gmean_oof,0.8763088313061871,0.8364734040371585,0.8546223739459695,0.8676656938485824,0.9388104804822497,0.13333333333333333,0.18840579710144928,0.3536231884057971,0.6289855072463768,1.1797101449275362,2.8318840579710143
australian_credit,1.247557003257329,type_recall_oof,0.8763088313061871,0.8364734040371585,0.8546223739459695,0.8676656938485824,0.9388103449335323,0.13333333333333333,0.18840579710144928,0.3536231884057971,0.6289855072463768,1.1797101449275362,2.8318840579710143
australian_credit,1.247557003257329,type_recall_train,0.8763088313061871,0.8364734040371585,0.8546223739459695,0.8676656938485824,0.9388529253039815,0.13333333333333333,0.18840579710144928,0.3536231884057971,0.6289855072463768,1.1797101449275362,2.8318840579710143
australian_credit,1.247557003257329,uniform,0.8730830248545743,0.8385604284406478,0.8541752355181149,0.8673514919214771,0.9389374083012927,0.13333333333333336,0.18985507246376812,0.35942028985507246,0.6420289855072464,1.2072463768115942,2.9028985507246374
banknote,1.2491803278688525,bias_prop_oof,0.9918032786885245,0.9871944031653948,0.9894130661484228,0.9906427814151257,0.9989113332994976,0.009481088254810883,0.013125414731254148,0.02405839416058394,0.04228002654280026,0.07872329130723292,0.18805308560053086
banknote,1.2491803278688525,stacking_cost,0.9934426229508198,0.9823694567554402,0.9878072060988927,0.9894930693013473,0.9990408257061812,0.01093828798938288,0.013852687458526875,0.02259588586595886,0.03716788321167883,0.06631187790311878,0.1537438619774386
banknote,1.2491803278688525,type,0.9918032786885245,0.9871944031653948,0.9894130661484228,0.9906427814151257,0.9989114037907368,0.009481088254810883,0.013125414731254148,0.02405839416058394,0.04228002654280026,0.07872329130723292,0.18805308560053086
banknote,1.2491803278688525,type_bacc_oof,0.9918032786885245,0.9871944031653948,0.9894130661484228,0.9906427814151257,0.9989114037907368,0.009481088254810883,0.013125414731254148,0.02405839416058394,0.04228002654280026,0.07872329130723292,0.18805308560053086
banknote,1.2491803278688525,type_f1_oof,0.9918032786885245,0.9871944031653948,0.9894130661484228,0.9906427814151257,0.9989114037907368,0.009481088254810883,0.013125414731254148,0.02405839416058394,0.04228002654280026,0.07872329130723292,0.18805308560053086
banknote,1.2491803278688525,type_gmean_oof,0.9918032786885245,0.9871944031653948,0.9894130661484228,0.9906427814151257,0.9989114037907368,0.009481088254810883,0.013125414731254148,0.02405839416058394,0.04228002654280026,0.07872329130723292,0.18805308560053086
banknote,1.2491803278688525,type_recall_oof,0.9918032786885245,0.9871944031653948,0.9894130661484228,0.9906427814151257,0.9989114037907368,0.009481088254810883,0.013125414731254148,0.02405839416058394,0.04228002654280026,0.07872329130723292,0.18805308560053086
banknote,1.2491803278688525,type_recall_train,0.9918032786885245,0.9871944031653948,0.9894130661484228,0.9906427814151257,0.9989114037907368,0.009481088254810883,0.013125414731254148,0.02405839416058394,0.04228002654280026,0.07872329130723292,0.18805308560053086
banknote,1.2491803278688525,uniform,0.9918032786885245,0.9871944031653948,0.9894130661484228,0.9906427814151257,0.9988789778206364,0.009481088254810883,0.013125414731254148,0.02405839416058394,0.04228002654280026,0.07872329130723292,0.18805308560053086
breast_cancer,1.6839622641509433,bias_prop_oof,0.9433001107419712,0.9498301646459405,0.9454748784729171,0.956215783070516,0.9904079299223418,0.04042850489054495,0.0615277130880298,0.12482533768048439,0.23032137866790867,0.44131346064275734,1.0742897065673032
breast_cancer,1.6839622641509433,stacking_cost,0.9623477297895903,0.9131036008801182,0.9347395472457769,0.9517333328134179,0.9894907992312184,0.05095482068001863,0.06502095947834187,0.10721937587331158,0.1775500698649278,0.31821145784816024,0.7401956217978574
breast_cancer,1.6839622641509433,type,0.9433001107419712,0.954586262206916,0.9477669736830258,0.9576242337747415,0.9904743707724382,0.03865859338612017,0.05975780158360503,0.1230554261760596,0.22855146716348393,0.4395435491383325,1.0725197950628784
breast_cancer,1.6839622641509433,type_bacc_oof,0.9433001107419712,0.954586262206916,0.9477669736830258,0.9576242337747415,0.9904743707724382,0.03865859338612017,0.05975780158360503,0.1230554261760596,0.22855146716348393,0.4395435491383325,1.0725197950628784
breast_cancer,1.6839622641509433,type_f1_oof,0.9433001107419712,0.954586262206916,0.9477669736830258,0.9576242337747415,0.9904743707724382,0.03865859338612017,0.05975780158360503,0.1230554261760596,0.22855146716348393,0.4395435491383325,1.0725197950628784
breast_cancer,1.6839622641509433,type_gmean_oof,0.9433001107419712,0.954586262206916,0.9477669736830258,0.9576242337747415,0.9904743707724382,0.03865859338612017,0.05975780158360503,0.1230554261760596,0.22855146716348393,0.4395435491383325,1.0725197950628784
breast_cancer,1.6839622641509433,type_recall_oof,0.9433001107419712,0.954586262206916,0.9477669736830258,0.9576242337747415,0.9904743707724382,0.03865859338612017,0.05975780158360503,0.1230554261760596,0.22855146716348393,0.4395435491383325,1.0725197950628784
breast_cancer,1.6839622641509433,type_recall_train,0.9433001107419712,0.954586262206916,0.9477669736830258,0.9576242337747415,0.9904743707724382,0.03865859338612017,0.05975780158360503,0.1230554261760596,0.22855146716348393,0.4395435491383325,1.0725197950628784
breast_cancer,1.6839622641509433,uniform,0.9433001107419712,0.9498301646459405,0.9454748784729171,0.956215783070516,0.9902756547900669,0.04042850489054495,0.0615277130880298,0.12482533768048439,0.23032137866790867,0.44131346064275734,1.0742897065673032
digits_0,9.095505617977528,bias_prop_oof,0.9714285714285713,0.9484130781499202,0.9588298887122416,0.9826278659611993,0.9991358024691358,0.008353450943980193,0.011138966264314454,0.01949551222531724,0.033423088826988544,0.061278242030331165,0.14484370164035903
digits_0,9.095505617977528,stacking_cost,0.9771428571428572,0.9485913312693498,0.9618989424206816,0.9854850088183422,0.9991710758377426,0.0077963478799133405,0.01002476013618075,0.016709996904982975,0.02785205818632002,0.05013618074899412,0.1169885484370164
digits_0,9.095505617977528,type,0.9714285714285713,0.9526438473806895,0.9612082670906201,0.9829365079365079,0.999153439153439,0.0077963478799133405,0.010581863200247602,0.018938409161250384,0.0328659857629217,0.06072113896626432,0.14428659857629217
digits_0,9.095505617977528,type_bacc_oof,0.9714285714285713,0.9526438473806895,0.9612082670906201,0.9829365079365079,0.9991358024691358,0.0077963478799133405,0.010581863200247602,0.018938409161250384,0.0328659857629217,0.06072113896626432,0.14428659857629217
digits_0,9.095505617977528,type_f1_oof,0.9714285714285713,0.9526438473806895,0.9612082670906201,0.9829365079365079,0.9991181657848325,0.0077963478799133405,0.010581863200247602,0.018938409161250384,0.0328659857629217,0.06072113896626432,0.14428659857629217
digits_0,9.095505617977528,type_gmean_oof,0.9714285714285713,0.9526438473806895,0.9612082670906201,0.9829365079365079,0.9991358024691358,0.0077963478799133405,0.010581863200247602,0.018938409161250384,0.0328659857629217,0.06072113896626432,0.14428659857629217
digits_0,9.095505617977528,type_recall_oof,0.9714285714285713,0.9484130781499202,0.9588298887122416,0.9826278659611993,0.9991358024691358,0.008353450943980193,0.011138966264314454,0.01949551222531724,0.033423088826988544,0.061278242030331165,0.14484370164035903
digits_0,9.095505617977528,type_recall_train,0.9714285714285713,0.9484130781499202,0.9588298887122416,0.9826278659611993,0.9991358024691358,0.008353450943980193,0.011138966264314454,0.01949551222531724,0.033423088826988544,0.061278242030331165,0.14484370164035903
digits_0,9.095505617977528,uniform,0.9714285714285713,0.9526438473806895,0.9612082670906201,0.9829365079365079,0.9991358024691358,0.0077963478799133405,0.010581863200247602,0.018938409161250384,0.0328659857629217,0.06072113896626432,0.14428659857629217
digits_1,8.873626373626374,bias_prop_oof,0.9783783783783784,0.900607281095086,0.9373096982325533,0.9829972387247929,0.997395847860244,0.013351903435468895,0.015574125657691118,0.022240792324357783,0.03335190343546889,0.05557412565769112,0.12224079232435778
digits_1,8.873626373626374,stacking_cost,0.9728228228228228,0.9086264441591784,0.939219793956636,0.9808386559934548,0.9972410490986341,0.012797895388424638,0.01557722067471371,0.023915196533580936,0.03781182296502631,0.06560507582791705,0.1489848344165893
digits_1,8.873626373626374,type,0.9783783783783784,0.910053974752306,0.9422219789343076,0.9836164337712325,0.9973107782705306,0.012240792324357786,0.014463014546580005,0.021129681213246675,0.03224079232435779,0.05446301454658,0.12112968121324667
digits_1,8.873626373626374,type_bacc_oof,0.9783783783783784,0.910053974752306,0.9422219789343076,0.9836164337712325,0.9973107782705306,0.012240792324357786,0.014463014546580005,0.021129681213246675,0.03224079232435779,0.05446301454658,0.12112968121324667
digits_1,8.873626373626374,type_f1_oof,0.9783783783783784,0.9142351594212956,0.94461958133191,0.9839260312944523,0.9972940432692754,0.011683689260290932,0.013905911482513153,0.020572578149179822,0.03168368926029093,0.053905911482513155,0.12057257814917981
