Dataset,IR,Method,cost_r1,cost_r2,cost_r5,cost_r10,cost_r20,cost_r50,fit_seconds
australian_credit,1.247557003257329,GradientBoost+Elkan,0.12463768115942028,0.17826086956521742,0.27246376811594203,0.3492753623188406,0.5623188405797102,0.6753623188405797,1.2913981914520263
australian_credit,1.247557003257329,GradientBoost+t05,0.12463768115942028,0.1869565217391304,0.3739130434782608,0.6855072463768116,1.308695652173913,3.1782608695652175,1.2913981914520263
australian_credit,1.247557003257329,Pool-uniform+Elkan,0.13333333333333336,0.17391304347826086,0.24347826086956523,0.33768115942028987,0.5,0.5492753623188407,6.660501289367676
australian_credit,1.247557003257329,Pool-uniform+t05,0.13333333333333336,0.18985507246376812,0.35942028985507246,0.6420289855072464,1.2072463768115942,2.9028985507246374,6.660501289367676
australian_credit,1.247557003257329,RandomBalance+Elkan,0.12753623188405797,0.1753623188405797,0.2768115942028985,0.40869565217391307,0.5101449275362319,0.555072463768116,14.713501739501954
australian_credit,1.247557003257329,RandomBalance+t05,0.12753623188405797,0.16376811594202897,0.272463768115942,0.4536231884057971,0.8159420289855073,1.9028985507246379,14.713501739501954
australian_credit,1.247557003257329,RandomForest+Elkan,0.14492753623188406,0.18405797101449275,0.29130434782608694,0.4231884057971015,0.5347826086956522,0.5072463768115941,1.3234856605529786
australian_credit,1.247557003257329,RandomForest+t05,0.14492753623188406,0.21304347826086958,0.41739130434782606,0.7579710144927536,1.4391304347826088,3.482608695652174,1.3234856605529786
australian_credit,1.247557003257329,SPE+Elkan,0.1289855072463768,0.1681159420289855,0.24347826086956523,0.363768115942029,0.5159420289855072,0.555072463768116,12.272585725784301
australian_credit,1.247557003257329,SPE+t05,0.1289855072463768,0.18405797101449275,0.3492753623188406,0.6246376811594203,1.1753623188405797,2.827536231884058,12.272585725784301
banknote,1.2491803278688525,GradientBoost+Elkan,0.004376907763769077,0.008751161247511612,0.012390179163901791,0.017486396814863966,0.015309887193098873,0.04154479097544791,1.6500892162322998
banknote,1.2491803278688525,GradientBoost+t05,0.004376907763769077,0.005834107498341075,0.010205706702057065,0.017491705374917052,0.03206370272063702,0.07577969475779696,1.6500892162322998
banknote,1.2491803278688525,Pool-uniform+Elkan,0.009481088254810883,0.013852687458526875,0.02552090245520903,0.0466542800265428,0.07070471134704712,0.16542800265428004,12.639065837860107
banknote,1.2491803278688525,Pool-uniform+t05,0.009481088254810883,0.013125414731254148,0.02405839416058394,0.04228002654280026,0.07872329130723292,0.18805308560053086,12.639065837860107
banknote,1.2491803278688525,RandomBalance+Elkan,0.01604777704047777,0.03283078964830789,0.06421234240212342,0.10943331121433311,0.14517584605175846,0.20636230922362309,22.34713797569275
banknote,1.2491803278688525,RandomBalance+t05,0.01604777704047777,0.018229595222295954,0.0247750497677505,0.035684140676841405,0.057502322495023225,0.12295686794956869,22.34713797569275
banknote,1.2491803278688525,RandomForest+Elkan,0.0065666887856668885,0.008751161247511612,0.014582614465826144,0.029157266091572664,0.04955540809555408,0.10203583278035833,2.1201563358306883
banknote,1.2491803278688525,RandomForest+t05,0.0065666887856668885,0.008026542800265428,0.012406104844061048,0.01970537491705375,0.034303915063039155,0.07809953550099535,2.1201563358306883
banknote,1.2491803278688525,SPE+Elkan,0.01020836098208361,0.01312806901128069,0.020414067684140676,0.047381552753815524,0.07871798274717982,0.1785560716655607,18.41081624031067
banknote,1.2491803278688525,SPE+t05,0.01020836098208361,0.013852687458526875,0.024785666887856668,0.043007299270073,0.07945056403450565,0.18878035832780357,18.41081624031067
breast_cancer,1.6839622641509433,GradientBoost+Elkan,0.04916938363608135,0.07025306629405371,0.0896599906846763,0.14420121099208197,0.18983077161931378,0.42189101071262225,2.8289591312408446
breast_cancer,1.6839622641509433,GradientBoost+t05,0.04916938363608135,0.08253376804843968,0.18262692128551467,0.3494488433473063,0.6830926874708896,1.6840242198416395,2.8289591312408446
breast_cancer,1.6839622641509433,Pool-uniform+Elkan,0.04042850489054495,0.0615277130880298,0.0878590281012265,0.1335662164260208,0.20919111939139884,0.41332091290172335,28.605603551864625
breast_cancer,1.6839622641509433,Pool-uniform+t05,0.04042850489054495,0.0615277130880298,0.12482533768048439,0.23032137866790867,0.44131346064275734,1.0742897065673032,28.605603551864625
breast_cancer,1.6839622641509433,RandomBalance+Elkan,0.043921751280857006,0.07205402887750349,0.11248253376804844,0.1863375252290017,0.2688557677379289,0.39495419965843814,70.14553666114807
breast_cancer,1.6839622641509433,RandomBalance+t05,0.043921751280857006,0.06852973140816643,0.1423536717900947,0.2653935724266418,0.511473373699736,1.2497127775190187,70.14553666114807
breast_cancer,1.6839622641509433,RandomForest+Elkan,0.03688868188169538,0.05270920664493091,0.10891165968017388,0.16519174041297935,0.26017699115044246,0.31963980748331006,2.3687720775604246
breast_cancer,1.6839622641509433,RandomForest+t05,0.03688868188169538,0.05621797857475547,0.11420586865393571,0.2108523521192361,0.40414531904983697,0.9840242198416395,2.3687720775604246
breast_cancer,1.6839622641509433,SPE+Elkan,0.04218289085545722,0.059742276044092525,0.08967551622418879,0.1335662164260208,0.2127464679397609,0.46245924545877964,27.24523820877075
breast_cancer,1.6839622641509433,SPE+t05,0.04218289085545722,0.06503648501785438,0.1335972675050458,0.2478652383170315,0.47640117994100295,1.1620090048129172,27.24523820877075
digits_0,9.095505617977528,GradientBoost+Elkan,0.0055710306406685246,0.008356545961002786,0.015595790776849272,0.026737852058186316,0.05069018879603837,0.11809965954812751,4.273445796966553
digits_0,9.095505617977528,GradientBoost+t05,0.0055710306406685246,0.008356545961002786,0.016713091922005572,0.030640668523676882,0.05849582172701949,0.14206128133704735,4.273445796966553
digits_0,9.095505617977528,Pool-uniform+Elkan,0.0077963478799133405,0.013919839059114824,0.022827298050139274,0.03841380377592077,0.06958836273599504,0.08405601980810894,28.584828853607178
digits_0,9.095505617977528,Pool-uniform+t05,0.0077963478799133405,0.010581863200247602,0.018938409161250384,0.0328659857629217,0.06072113896626432,0.14428659857629217,28.584828853607178
digits_0,9.095505617977528,RandomBalance+Elkan,0.009466109563602599,0.014480037140204271,0.02283348808418446,0.032299597647787066,0.048447848963169296,0.06069328381306097,151.21111145019532
digits_0,9.095505617977528,RandomBalance+t05,0.009466109563602599,0.012807180439492416,0.02283039306716187,0.03953574744661096,0.07294645620550913,0.17317858248220364,151.21111145019532
digits_0,9.095505617977528,RandomForest+Elkan,0.003899721448467966,0.003899721448467966,0.007240792324357784,0.012245434849891674,0.023930671618693902,0.08459610027855154,2.963468074798584
digits_0,9.095505617977528,RandomForest+t05,0.003899721448467966,0.007799442896935932,0.019498607242339833,0.03899721448467967,0.07799442896935933,0.19498607242339833,2.963468074798584
digits_0,9.095505617977528,SPE+Elkan,0.004456824512534819,0.008909006499535747,0.008909006499535747,0.025600433302383162,0.05008511296812133,0.10016558341070876,17.085513591766357
digits_0,9.095505617977528,SPE+t05,0.004456824512534819,0.006685236768802229,0.013370473537604458,0.024512534818941507,0.0467966573816156,0.11364902506963788,17.085513591766357
digits_1,8.873626373626374,GradientBoost+Elkan,0.008344165892912411,0.013905911482513153,0.02781027545651501,0.043949241720829466,0.03613122872175797,0.08449086969978334,3.7024765014648438
digits_1,8.873626373626374,GradientBoost+t05,0.008344165892912411,0.0133488084184463,0.02836273599504797,0.05338594862271743,0.10343237387805633,0.2535716496440731,3.7024765014648438
digits_1,8.873626373626374,Pool-uniform+Elkan,0.009458372021046116,0.025035592695759827,0.06454812751470133,0.08848653667595172,0.13690962550294025,0.20091303002166513,33.09919943809509
digits_1,8.873626373626374,Pool-uniform+t05,0.009458372021046116,0.011680594243268339,0.018347260909935003,0.02945837202104612,0.05168059424326834,0.11834726090993501,33.09919943809509
digits_1,8.873626373626374,RandomBalance+Elkan,0.01057257814917982,0.01891674404209223,0.0506298359640978,0.0845605075827917,0.11240018570102135,0.1625177963478799,143.6235152721405
