Dataset,IR,Method,Recall,Precision,F1,BAcc,AUC,cost_r1,cost_r2,cost_r5,cost_r10,cost_r20,cost_r50
australian_credit,1.247557003257329,ASE-Stacking,0.9391503613608321,0.7776472015709206,0.8503871502149035,0.8612361512887551,0.9362499652091625,0.14734299516908214,0.1743961352657005,0.25555555555555554,0.3908212560386473,0.661352657004831,1.4729468599033817
australian_credit,1.247557003257329,ASE-Static,0.8740349021681649,0.8409469990538144,0.8564093771570571,0.8700090209177576,0.9382948170146534,0.13043478260869565,0.18647342995169083,0.3545893719806763,0.6347826086956522,1.1951690821256038,2.876328502415459
australian_credit,1.247557003257329,BalancedBagging,0.8761854398025736,0.7909530329322608,0.8301646365960559,0.844073581145306,0.9029198895633391,0.15942028985507245,0.2144927536231884,0.3797101449275362,0.6550724637681159,1.2057971014492752,2.8579710144927537
australian_credit,1.247557003257329,DSS,0.8880839062224573,0.8272431839889267,0.8555295723862578,0.8687799344281574,0.9396819352356662,0.13333333333333333,0.18309178743961355,0.3323671497584541,0.5811594202898551,1.078743961352657,2.571497584541063
australian_credit,1.247557003257329,EasyEnsemble,0.8784593689405958,0.832008375645258,0.8540567351918894,0.8678580736250029,0.9329094815303728,0.13333333333333333,0.18743961352657004,0.3497584541062802,0.6202898550724638,1.161352657004831,2.7845410628019325
australian_credit,1.247557003257329,GB+Threshold,0.8664375110170985,0.8417509735037361,0.8531557211768617,0.8670818222663529,0.9344318442372939,0.13285024154589373,0.19227053140096617,0.3705314009661836,0.6676328502415458,1.2618357487922707,3.0444444444444443
australian_credit,1.247557003257329,GradientBoost,0.864304600740349,0.8421030859938197,0.8520604651949629,0.8660039750113228,0.9332451543743259,0.13381642512077294,0.19420289855072465,0.3753623188405797,0.6772946859903382,1.2811594202898553,3.092753623188406
australian_credit,1.247557003257329,RF+Threshold,0.8589106292966684,0.847961530701235,0.8524205797263502,0.8667815848693413,0.9368692104883621,0.1323671497584541,0.19516908212560388,0.38357487922705313,0.697584541062802,1.3256038647342996,3.209661835748792
australian_credit,1.247557003257329,RUSBoost,0.9184382161114049,0.7912699573832654,0.8481961545098151,0.8604152803045063,0.9176998536314827,0.14589371980676327,0.1821256038647343,0.29082125603864734,0.47198067632850244,0.8342995169082125,1.921256038647343
australian_credit,1.247557003257329,RandomBalance,0.8803807509254362,0.8387391467784532,0.8560678343347978,0.8692231847586853,0.9403784538265042,0.1318840579710145,0.18502415458937196,0.34444444444444444,0.610144927536232,1.1415458937198069,2.7357487922705315
