Dataset,IR,Method,Recall,Precision,F1,BAcc,AUC,cost_r1,cost_r2,cost_r5,cost_r10,cost_r20,cost_r50
australian_credit,1.247557003257329,ASE-Stacking,0.934902168164992,0.774476042860031,0.8468671942419721,0.8577962652171509,0.9375698211443708,0.15072463768115943,0.17971014492753623,0.26666666666666666,0.41159420289855075,0.7014492753623188,1.5710144927536231
australian_credit,1.247557003257329,ASE-Static,0.8666842940243257,0.8498241209788396,0.8568059893988217,0.8706798093498251,0.9384311880610134,0.1289855072463768,0.18840579710144928,0.3666666666666667,0.663768115942029,1.2579710144927536,3.0405797101449274
australian_credit,1.247557003257329,BalancedBagging,0.8567424643046007,0.7848823207443897,0.8180412381450626,0.8330363039226352,0.8966928417264498,0.16956521739130434,0.2333333333333333,0.4246376811594203,0.7434782608695653,1.3811594202898552,3.294202898550725
australian_credit,1.247557003257329,EasyEnsemble,0.8699629825489159,0.8320746636875669,0.8498917064707892,0.8644756812949638,0.93286203797316,0.13623188405797101,0.19420289855072465,0.3681159420289855,0.6579710144927536,1.23768115942029,2.9768115942028985
australian_credit,1.247557003257329,GB+Threshold,0.8698043363299842,0.8565533470153035,0.8618044744624342,0.8748372331000571,0.9352845782067302,0.12463768115942028,0.1826086956521739,0.3565217391304348,0.6463768115942029,1.2260869565217392,2.9652173913043476
australian_credit,1.247557003257329,GradientBoost,0.8601269169751454,0.8674124064932889,0.8617657037561912,0.8752275049674086,0.9347074388774687,0.12318840579710144,0.1855072463768116,0.37246376811594206,0.6840579710144927,1.307246376811594,3.1768115942028983
australian_credit,1.247557003257329,RF+Threshold,0.8536224219989423,0.8467520509151866,0.847851648349284,0.8628159956884665,0.9342381737358636,0.13623188405797101,0.20144927536231885,0.3971014492753623,0.7231884057971014,1.3753623188405797,3.3318840579710143
australian_credit,1.247557003257329,RUSBoost,0.9382866208355368,0.787375859434683,0.8556389576246811,0.8673832283945284,0.9202464465451886,0.14057971014492754,0.16811594202898553,0.25072463768115943,0.3884057971014493,0.663768115942029,1.4898550724637682
australian_credit,1.247557003257329,RandomBalance,0.9120042305658382,0.8236707468375478,0.8634681869874328,0.8750212540389001,0.9368092030711364,0.1289855072463768,0.1681159420289855,0.2855072463768116,0.4811594202898551,0.872463768115942,2.046376811594203
australian_credit,1.247557003257329,RandomForest,0.8471708090957165,0.8330394448569516,0.8382671678117457,0.8543782958670654,0.9316014439372312,0.14492753623188406,0.21304347826086958,0.41739130434782606,0.7579710144927536,1.4391304347826086,3.4826086956521736
australian_credit,1.247557003257329,SMOTEBoost,0.8731359069275516,0.8456149500217297,0.8568887236352477,0.8713423895540015,0.921458563841458,0.1289855072463768,0.1855072463768116,0.3550724637681159,0.6376811594202898,1.2028985507246377,2.898550724637681
banknote,1.2491803278688525,ASE-Stacking,0.9983606557377049,0.9856481452800304,0.991902221154095,0.993267875168474,0.9997088711814897,0.007291307232913072,0.0080185799601858,0.010200398142003981,0.013836761778367618,0.02110948905109489,0.04292767086927671
banknote,1.2491803278688525,ASE-Static,0.9967213114754099,0.9921259842519685,0.9943378452079925,0.9950711820534945,0.9995901639344262,0.005106834771068347,0.006564034505640344,0.010935633709356336,0.018221632382216323,0.0327936297279363,0.07650962176509621
